city,trip
"Ahumada, Chihuahua",[]
Aichach,[]
"Aiken, SC","['Atlanta, GA', 'Austin, TX', 'Benson, AZ', 'Charlotte, NC', 'Chicago, IL', 'Clarksville, TN', 'Columbus, GA', 'Dallas, TX', 'Daytona Beach, FL', 'Fort Lauderdale, FL', 'Fort Myers, FL', 'Greensboro, NC', 'Greenville, SC', 'Houston, TX', 'Indianapolis, IN', 'Jacksonville, FL', 'Las Vegas, NV', 'Macon, GA', 'Memphis, TN', 'Miami, FL', 'New Haven, CT', 'New Orleans, LA', 'New York, NY', 'Newark, NJ', 'Norfolk-Virginia Beach, VA', 'Orlando, FL', 'Panama City, FL', 'Philadelphia, PA', 'Pittsburgh, PA', 'Richmond, VA', 'Spartanburg, SC', 'Tampa, FL', 'Tifton, GA', 'Valdosta, GA', 'Washington, D.C.', 'West Palm Beach, FL', 'Winston-Salem, NC', 'Woodbridge, VA']"
Aime,[]
"Aitkin, MN","['Forrest City, AR', 'Minneapolis, MN']"
Aiud,[]
Aix-en-Provence,"['Annecy', 'Antibes', 'Avignon', 'Barcelona', 'Basel/Weil am Rhein', 'Bordeaux', 'Budapest', 'Cannes', 'Clermont-Ferrand', 'Cologne', 'Geneva', 'Genoa', 'Grenoble', 'Lyon', 'Marseille', 'Milan', 'Montpellier', 'Mulhouse', 'Nice', 'Nîmes', 'Paris', 'Rome', 'Toulouse']"
Aix-les-Bains,"['Avignon', 'Cannes', 'Geneva', 'Grenoble', 'Lyon', 'Rotterdam', 'Warsaw']"
Ajmer,[]
"Ajo, AZ",[]
Akçaabat,[]
Akçakoca,['Amasra']
Akçay - Balıkesir,['Denizli']
Akçay - Samsun,[]
Akdağmadeni,[]
Akhisar,[]
